user_id:token,item_id:token,rating:float
PLWLP3IZWTX1,TOBAWISA00001,1
PLJMUDQ49AI5,TOBAWISA00001,1
POSASJ40OHK4,TOBAWISA00001,1
PRWX71WZIVE3,TOBAWISA00001,1
PGEBUYMDIH66,TOBAWISA00001,1
POL6QEBSH4N6,TOBAWISA00001,1
PVT5GSGJDHG3,TOBAWISA00001,1
PSH2UTCTX9U1,TOBAWISA00001,1
PXA25JYCNRG7,TOBAWISA00001,1
PUXR9KIBQLN0,TOBAWISA00001,1
P0DHGODHMMI1,TOBAWISA00002,1
PHTW2XQN8467,TOBAWISA00002,1
P73C8D0WHQU9,TOBAWISA00002,1
P75LOKP9HEM2,TOBAWISA00002,1
P3O9AVSWG536,TOBAWISA00002,1
P42H6YR5BQU1,TOBAWISA00002,1
PBFTWADFTHT6,TOBAWISA00002,1
PSRDH2L5TBN5,TOBAWISA00002,1
P54U45L55KV5,TOBAWISA00002,1
PLIZE937MG54,TOBAWISA00002,1
PKERXYJ45SJ1,TOBAWISA00002,1
P8DRPMFBCTU4,TOBAWISA00002,1
P76YB4A8U5T8,TOBAWISA00002,1
PVZJ2BJ8ZQT0,TOBAWISA00002,1
PWXXVZF6FN63,TOBAWISA00002,1
P4T55W8ZTAE8,TOBAWISA00002,1
PABQRB22K7W1,TOBAWISA00002,1
P1J3G5FOLNP9,TOBAWISA00002,1
PBWVR0TY0Z89,TOBAWISA00002,1
PHJ8PWGS3W58,TOBAWISA00002,1
PKATKSDP57B2,TOBAWISA00002,1
P02XGLGP59Z7,TOBAWISA00002,1
P1WW2SIXLUW0,TOBAWISA00002,1
PICJ1RDMC6R3,TOBAWISA00002,1
PSXHY7GQHHK0,TOBAWISA00002,1
PX72P0P8J3G1,TOBAWISA00002,1
PLEYCYMEW836,TOBAWISA00002,1
PDMZ6R34HGL7,TOBAWISA00002,1
PG546ICU4Q50,TOBAWISA00003,1
P1P5E4BDFPJ2,TOBAWISA00003,1
PQFH9XIIUXA2,TOBAWISA00003,1
PWCZVJR3WBV9,TOBAWISA00003,1
PVPQBI1NB2Z7,TOBAWISA00003,1
PP265A0CX018,TOBAWISA00003,1
PHEOE877CCX8,TOBAWISA00003,1
P54U45L55KV5,TOBAWISA00003,1
PRUUD7ED9W27,TOBAWISA00003,1
PZUZ0TAYM1P6,TOBAWISA00003,1
PZ0IV66IY265,TOBAWISA00003,1
PAU9Z29Z3U39,TOBAWISA00003,1
P4YKSGD0V0G3,TOBAWISA00003,1
PR1KPPH94YD1,TOBAWISA00003,1
PQ5PU1QHBTZ6,TOBAWISA00003,1
PPBIHUBRLTP8,TOBAWISA00003,1
PV74KNJL4DQ6,TOBAWISA00003,1
PT1OSULKT2W3,TOBAWISA00003,1
P9BGX6V1P177,TOBAWISA00003,1
PFU2N9J0WZF1,TOBAWISA00003,1
POJ6JS96P4T6,TOBAWISA00003,1
PO97XQ8J72T4,TOBAWISA00003,1
PTB9G9RVBG48,TOBAWISA00003,1
P69VWIM63NV0,TOBAWISA00003,1
PULURVOLD7M4,TOBAWISA00003,1
PVKUA2W9TIM9,TOBAWISA00003,1
PP2ARSQME9M9,TOBAWISA00003,1
PXOO77CNRXJ4,TOBAWISA00003,1
PM67U5ALO0O1,TOBAWISA00003,1
PG1TRGSNQHD3,TOBAWISA00003,1
PHKSBHW7HB87,TOBAWISA00003,1
PB4DYKGZ7Q83,TOBAWISA00003,1
PASZQGS41D74,TOBAWISA00003,1
PMJPBATY79B3,TOBAWISA00003,1
P7INI270BM99,TOBAWISA00003,1
PP9B3E1HO6R2,TOBAWISA00003,1
PTT0CQWLRBK5,TOBAWISA00003,1
PZ465MYYVOZ7,TOBAWISA00003,1
PD2L7FPSTFQ9,TOBAWISA00003,1
PYKW58YZQVM6,TOBAWISA00003,1
PQVSBKOYRDP0,TOBAWISA00003,1
PCYX8H15SW58,TOBAWISA00003,1
PYNHZDPH2XI1,TOBAWISA00003,1
PT1R85F7LA61,TOBAWISA00003,1
PNQ7N9RZYUF5,TOBAWISA00003,1
PKE30FDHBEB7,TOBAWISA00003,1
PR4ZHFVCQOV7,TOBAWISA00003,1
PBVQUS5VDMX4,TOBAWISA00003,1
PMUR0MI5XYK2,TOBAWISA00003,1
PKSE2GGDKBZ2,TOBAWISA00003,1
PU02FQT2VR81,TOBAWISA00003,1
PHYSQEWFW791,TOBAWISA00003,1
PIW9QBQ05SQ2,TOBAWISA00003,1
PTBMXSSBEH32,TOBAWISA00003,1
P2IA6BMM7603,TOBAWISA00003,1
PQ54ZIYAGJK1,TOBAWISA00003,1
PMOEAFEQZME5,TOBAWISA00003,1
PUXA31GGM3X5,TOBAWISA00003,1
PV5UB6HZ0OR4,TOBAWISA00003,1
P9UCV0OI65L3,TOBAWISA00003,1
PIO327ZGQHT7,TOBAWISA00003,1
PEL5Y421XDV9,TOBAWISA00003,1
PHZK5OPOG7E8,TOBAWISA00003,1
PHXSWOP5GG95,TOBAWISA00003,1
P73DWAAYVYL4,TOBAWISA00003,1
PLTWZ9AAWKG0,TOBAWISA00003,1
PA3NUQT8VU53,TOBAWISA00003,1
PY8NJ2YV7BM2,TOBAWISA00003,1
P0KL20M0YT12,TOBAWISA00003,1
PV8QDPHQEB57,TOBAWISA00003,1
P2XER5PDOUW2,TOBAWISA00003,1
PO44VBT8TFQ6,TOBAWISA00003,1
PI0HDRY122W6,TOBAWISA00003,1
PGMLLWSHXKT2,TOBAWISA00003,1
