user_id:token,item_id:token,rating:float
PIADHHSMSTI3,TOBAREST00001,1
PFNTWRBSC2A1,TOBAREST00001,1
P5ZLIJQYI4A7,TOBAREST00001,1
PLXY5PUV8ZB1,TOBAREST00001,1
PCO0HXT0UK17,TOBAREST00001,1
PV1RUSR7E9Y9,TOBAREST00001,1
P33JMKSCBBW1,TOBAREST00001,1
PD0FBTPSPF21,TOBAREST00001,1
PIGM5IXHOCX8,TOBAREST00001,1
P193IY07MIO4,TOBAREST00001,1
PWJ217CSUDQ9,TOBAREST00001,1
P7PYKIYL1I28,TOBAREST00001,1
P0ZIA8RQZGQ7,TOBAREST00001,1
PLF1G3O5LK49,TOBAREST00001,1
P2P6ZQ02SBF6,TOBAREST00001,1
PIR84M4X23Q9,TOBAREST00001,1
PGWHDXZDQQJ9,TOBAREST00001,1
PHGHE78FZTM2,TOBAREST00001,1
PS1HIXKQ3JF2,TOBAREST00001,1
PBQ6NUKCF4W5,TOBAREST00001,1
PXRYKUOB6B05,TOBAREST00001,1
P7WKYP2T2LD9,TOBAREST00001,1
P2HJBO8ABZS2,TOBAREST00001,1
PME7UPH0WN62,TOBAREST00001,1
PT3PJQIMCVK2,TOBAREST00001,1
P5I10GRMDM36,TOBAREST00001,1
P56IXWHI0H96,TOBAREST00001,1
PSG9GF98Y1P8,TOBAREST00001,1
PKA47PB3D8F5,TOBAREST00001,1
PALJ27ZX7MV9,TOBAREST00001,1
P2J7I9B98E56,TOBAREST00001,1
PNTK752Q7NW2,TOBAREST00001,1
PIT426400YW6,TOBAREST00001,1
PQVXPBB5QP29,TOBAREST00001,1
PD00Q45253A3,TOBAREST00001,1
PSQ303C4B0X1,TOBAREST00001,1
PXOY7PJW6OM8,TOBAREST00001,1
P46LMIVJVMK2,TOBAREST00001,1
P7A0YZY4KGI1,TOBAREST00001,1
PET4MNL6P389,TOBAREST00001,1
PC1XH87MPCL0,TOBAREST00001,1
PXCJ2J2WS7U1,TOBAREST00001,1
PMQ0OKZHBVC6,TOBAREST00001,1
PWYY3OPUN2G4,TOBAREST00001,1
P1DOCDNP4HF9,TOBAREST00001,1
PPDGSPKMF4M1,TOBAREST00001,1
PZC70NUVVD61,TOBAREST00001,1
PFBGFU855X83,TOBAREST00001,1
P29BC7OKWVU6,TOBAREST00001,1
P437BSO52LB0,TOBAREST00001,1
